"","group","season_id","n_individuals","n_dyads","total_dyad_scans","density","mean_strength","clustering_coef"
"1","Ankhase","dry_2024",34,52,1530,0.0926916221033868,0.141523294229181,0.20253164556962
"2","Ankhase","dry_2025",31,144,20870,0.309677419354839,0.239963738170123,0.6801872074883
"3","Ankhase","wet_2025",29,175,41190,0.431034482758621,0.120635741678214,0.581781376518219
"4","Noha","dry_2024",64,158,7106,0.0783730158730159,0.17060152910837,0.183719193427931
"5","Noha","dry_2025",44,256,35042,0.27061310782241,0.221036658698922,0.658906215681968
"6","Noha","wet_2025",49,316,63090,0.268707482993197,0.12872725666363,0.507731958762887
